Open,High,Low,Close,Volume
123.75,127.93,122.79,127.79,116307892
128.41,128.72,125.01,125.12,102260945
124.81,125.71,121.84,122.06,112966340
121.75,123.6,118.62,120.13,178154975
120.98,121.94,117.57,121.42,153766601
120.93,121,116.21,116.36,154376610
119.03,122.06,118.79,121.09,129525780
121.69,122.17,119.45,119.98,111943326
122.54,123.21,121.26,121.96,103026514
120.4,121.17,119.16,121.03,88105050
121.41,124,120.42,123.99,92590555
125.7,127.22,124.72,125.57,115227936
124.05,125.86,122.34,124.76,111932636
122.88,123.18,120.32,120.53,121469755
119.9,121.43,119.68,119.99,185549522
120.33,123.87,120.26,123.39,111912284
123.33,124.24,122.14,122.54,95467142
122.82,122.9,120.07,120.09,88530485
119.54,121.66,119,120.59,98844681
120.35,121.48,118.92,121.21,94071234
121.65,122.58,120.73,121.39,80819203
120.11,120.4,118.86,119.9,85671919
